passenger_id,survived,pclass,name,sex,age,sibsp,parch,ticket,fare,cabin,embarked
1,0,3,Braund Mr. Owen Harris,male,22,1,0,A/5 21171,7.25,C85,S
2,1,1,Cumings Mrs. John Bradley,female,38,1,0,PC 17599,71.28,C123,C
3,1,3,Heikkinen Miss. Laina,male,26,0,0,STON/O2. 3101282,7.92,E46,S
4,1,1,Braund Mr. Owen Harris,female,35,1,0,A/5 21171,53.1,C85,S
5,0,3,Cumings Mrs. John Bradley,male,35,0,0,PC 17599,8.05,C123,S
6,0,3,Heikkinen Miss. Laina,female,28,0,0,STON/O2. 3101282,8.46,E46,Q
7,0,1,Braund Mr. Owen Harris,male,54,0,0,A/5 21171,51.86,C85,S
8,0,3,Cumings Mrs. John Bradley,female,2,3,1,PC 17599,21.07,C123,S
9,1,3,Heikkinen Miss. Laina,male,27,0,2,STON/O2. 3101282,11.13,E46,S
10,1,2,Braund Mr. Owen Harris,female,14,1,0,A/5 21171,30.07,C85,C
11,0,3,Cumings Mrs. John Bradley,male,22,1,0,PC 17599,7.25,C123,S
12,1,1,Heikkinen Miss. Laina,female,38,1,0,STON/O2. 3101282,71.28,E46,C
13,1,3,Braund Mr. Owen Harris,male,26,0,0,A/5 21171,7.92,C85,S
14,1,1,Cumings Mrs. John Bradley,female,35,1,0,PC 17599,53.1,C123,S
15,0,3,Heikkinen Miss. Laina,male,35,0,0,STON/O2. 3101282,8.05,E46,S
16,0,3,Braund Mr. Owen Harris,female,28,0,0,A/5 21171,8.46,C85,Q
17,0,1,Cumings Mrs. John Bradley,male,54,0,0,PC 17599,51.86,C123,S
18,0,3,Heikkinen Miss. Laina,female,2,3,1,STON/O2. 3101282,21.07,E46,S
19,1,3,Braund Mr. Owen Harris,male,27,0,2,A/5 21171,11.13,C85,S
20,1,2,Cumings Mrs. John Bradley,female,14,1,0,PC 17599,30.07,C123,C
21,0,3,Heikkinen Miss. Laina,male,22,1,0,STON/O2. 3101282,7.25,E46,S
22,1,1,Braund Mr. Owen Harris,female,38,1,0,A/5 21171,71.28,C85,C
23,1,3,Cumings Mrs. John Bradley,male,26,0,0,PC 17599,7.92,C123,S
24,1,1,Heikkinen Miss. Laina,female,35,1,0,STON/O2. 3101282,53.1,E46,S
25,0,3,Braund Mr. Owen Harris,male,35,0,0,A/5 21171,8.05,C85,S
26,0,3,Cumings Mrs. John Bradley,female,28,0,0,PC 17599,8.46,C123,Q
27,0,1,Heikkinen Miss. Laina,male,54,0,0,STON/O2. 3101282,51.86,E46,S
28,0,3,Braund Mr. Owen Harris,female,2,3,1,A/5 21171,21.07,C85,S
29,1,3,Cumings Mrs. John Bradley,male,27,0,2,PC 17599,11.13,C123,S
30,1,2,Heikkinen Miss. Laina,female,14,1,0,STON/O2. 3101282,30.07,E46,C
31,0,3,Braund Mr. Owen Harris,male,22,1,0,A/5 21171,7.25,C85,S
32,1,1,Cumings Mrs. John Bradley,female,38,1,0,PC 17599,71.28,C123,C
33,1,3,Heikkinen Miss. Laina,male,26,0,0,STON/O2. 3101282,7.92,E46,S
34,1,1,Braund Mr. Owen Harris,female,35,1,0,A/5 21171,53.1,C85,S
35,0,3,Cumings Mrs. John Bradley,male,35,0,0,PC 17599,8.05,C123,S
36,0,3,Heikkinen Miss. Laina,female,28,0,0,STON/O2. 3101282,8.46,E46,Q
37,0,1,Braund Mr. Owen Harris,male,54,0,0,A/5 21171,51.86,C85,S
38,0,3,Cumings Mrs. John Bradley,female,2,3,1,PC 17599,21.07,C123,S
39,1,3,Heikkinen Miss. Laina,male,27,0,2,STON/O2. 3101282,11.13,E46,S
